"DisplayName","Created","Changed","Name","FilePath"
"Default Domain Policy","5/18/2007 6:20:01 PM","6/12/2017 2:52:50 PM","{31B2F340-016D-11D2-945F-00C04FB984F9}","\\corp.vegas.com\sysvol\corp.vegas.com\Policies\{31B2F340-016D-11D2-945F-00C04FB984F9}"
"Default Domain Controllers Policy","5/18/2007 6:20:01 PM","6/12/2017 2:52:50 PM","{6AC1786C-016F-11D2-945F-00C04fB984F9}","\\corp.vegas.com\sysvol\corp.vegas.com\Policies\{6ac1786c-016f-11d2-945f-00c04fb984f9}"
"Corp_Server_Policy","1/15/2008 12:41:18 PM","6/12/2017 2:53:05 PM","{F26EA0CB-D75C-43CB-A7E9-A44597071EE2}","\\corp.vegas.com\sysvol\corp.vegas.com\Policies\{F26EA0CB-D75C-43CB-A7E9-A44597071EE2}"
"Corp Computers Policy","4/28/2008 9:12:28 AM","6/12/2017 2:53:05 PM","{084F6845-844F-4F66-9889-CF9A1458F35E}","\\corp.vegas.com\sysvol\corp.vegas.com\Policies\{084f6845-844f-4f66-9889-cf9a1458f35e}"
"Quest Password Manager","5/1/2008 9:03:19 AM","6/12/2017 2:53:05 PM","{9F1DD36D-5D21-42BD-A242-0EFCF61D0D7B}","\\corp.vegas.com\sysvol\corp.vegas.com\Policies\{9f1dd36d-5d21-42bd-a242-0efcf61d0d7b}"
"Trusted Sites","3/6/2008 1:07:10 PM","6/12/2017 2:53:05 PM","{95176C43-17AC-4DBA-AD87-8DD2000903AF}","\\corp.vegas.com\sysvol\corp.vegas.com\Policies\{95176c43-17ac-4dba-ad87-8dd2000903af}"
"Test Power Management","6/27/2008 10:45:33 AM","6/12/2017 2:53:05 PM","{EA457D71-DD57-40E2-AA6E-CD0273F86854}","\\corp.vegas.com\sysvol\corp.vegas.com\Policies\{ea457d71-dd57-40e2-aa6e-cd0273f86854}"
"Test IIS reset","9/17/2008 4:16:25 PM","6/12/2017 2:53:05 PM","{5EE9D176-00D8-4F84-B3AE-6ADFBBBDB649}","\\corp.vegas.com\SysVol\corp.vegas.com\Policies\{5EE9D176-00D8-4F84-B3AE-6ADFBBBDB649}"
"IE Settings","10/9/2008 10:09:19 AM","6/12/2017 2:53:05 PM","{1E80C301-A5BF-497B-89DF-CAEDB0CD2A04}","\\corp.vegas.com\SysVol\corp.vegas.com\Policies\{1E80C301-A5BF-497B-89DF-CAEDB0CD2A04}"
"Autorun Disable Test","1/28/2009 1:28:49 PM","6/12/2017 2:53:05 PM","{92788F80-EE35-4553-8488-CFAE7074F31E}","\\corp.vegas.com\SysVol\corp.vegas.com\Policies\{92788F80-EE35-4553-8488-CFAE7074F31E}"
