"Name","RecordCount","USNCreated","USNChanged","whenCreated","whenChanged","DistinguishedName"
"RootDNSServers","14","24652","53323","7/11/2011 12:34:32 PM","5/19/2021 4:21:08 PM","DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=USON,DC=LOCAL"
"USON.LOCAL","1259","47914","6681072","7/11/2011 12:36:03 PM","9/21/2021 11:04:40 AM","DC=USON.LOCAL,CN=MicrosoftDNS,DC=DomainDnsZones,DC=USON,DC=LOCAL"
"1.168.192.in-addr.arpa","52","47916","47916","8/6/2011 1:45:27 PM","5/19/2021 4:19:28 PM","DC=1.168.192.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=USON,DC=LOCAL"
"3.168.192.in-addr.arpa","2","47926","47926","10/17/2011 10:19:48 AM","5/19/2021 4:19:28 PM","DC=3.168.192.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=USON,DC=LOCAL"
"10.10.10.in-addr.arpa","6","47938","4100443","8/17/2016 4:02:32 PM","8/6/2021 8:19:46 AM","DC=10.10.10.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=USON,DC=LOCAL"
"2.10.10.in-addr.arpa","4","47945","47945","3/28/2019 2:44:16 PM","5/19/2021 4:19:28 PM","DC=2.10.10.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=USON,DC=LOCAL"
"0.20.172.in-addr.arpa","7","47959","4100437","5/17/2019 9:58:57 AM","8/6/2021 8:19:46 AM","DC=0.20.172.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=USON,DC=LOCAL"
"39.10.10.in-addr.arpa","28","47963","47963","6/25/2019 1:31:14 PM","5/19/2021 4:19:28 PM","DC=39.10.10.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=USON,DC=LOCAL"
"19.10.10.in-addr.arpa","34","47967","47967","1/2/2018 11:11:12 AM","5/19/2021 4:19:28 PM","DC=19.10.10.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=USON,DC=LOCAL"
"18.10.10.in-addr.arpa","66","47968","4100477","1/2/2018 11:10:24 AM","8/6/2021 8:19:46 AM","DC=18.10.10.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=USON,DC=LOCAL"
"39.10.10.in-addr.arpa CNF:188dac86-56d8-42c4-b997-be23a23f5ba0","1","47971","47971","6/25/2019 1:29:12 PM","5/19/2021 4:19:28 PM","DC=39.10.10.in-addr.arpa\0ACNF:188dac86-56d8-42c4-b997-be23a23f5ba0,CN=MicrosoftDNS,DC=DomainDnsZones,DC=USON,DC=LOCAL"
"15.10.10.in-addr.arpa","37","47976","47976","4/9/2015 3:48:32 PM","5/19/2021 4:19:28 PM","DC=15.10.10.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=USON,DC=LOCAL"
"13.10.10.in-addr.arpa","35","47977","47977","4/9/2015 3:45:53 PM","5/19/2021 4:19:28 PM","DC=13.10.10.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=USON,DC=LOCAL"
"16.10.10.in-addr.arpa","70","47978","4100469","4/9/2015 3:48:52 PM","8/6/2021 8:19:46 AM","DC=16.10.10.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=USON,DC=LOCAL"
