"Layer","Domain","AccountName","AccountGroup","ActiveDirectoryRights","ObjectRights","ObjectDN","ObjectOwner","ObjectClassCategory","IdentitySID","ObjectSID"
"1","fnbm.corp","FNBMCORP\SVC_SPUserProfiles-E","FNBMCORP\SVC_SPUserProfiles-E","ExtendedRight","DS-Replication-Get-Changes-All","DC=fnbm,DC=corp","BUILTIN\Administrators","Domain","S-1-5-21-789336058-1085031214-725345543-28105","S-1-5-21-789336058-1085031214-725345543"
"1","fnbm.corp","FNBMCORP\SVC_SPUserProfiles-E","FNBMCORP\SVC_SPUserProfiles-E","ExtendedRight","DS-Replication-Get-Changes","DC=fnbm,DC=corp","BUILTIN\Administrators","Domain","S-1-5-21-789336058-1085031214-725345543-28105","S-1-5-21-789336058-1085031214-725345543"
"1","fnbm.corp","FNBMCORP\SVC_SPUserProfiles-E","FNBMCORP\SVC_SPUserProfiles-E","ExtendedRight","DS-Replication-Get-Changes","CN=S-1-5-9,CN=ForeignSecurityPrincipals,DC=fnbm,DC=corp","FNBMCORP\Domain Admins","top foreignSecurityPrincipal ","S-1-5-21-789336058-1085031214-725345543-28105","S-1-5-9"
"1","fnbm.corp","FNBMCORP\SVC_SPUserProfiles-E","FNBMCORP\SVC_SPUserProfiles-E","ExtendedRight","DS-Replication-Get-Changes","CN=RTCUniversalServerAdmins,CN=Users,DC=fnbm,DC=corp","FNBMCORP\Domain Admins","Group","S-1-5-21-789336058-1085031214-725345543-28105","S-1-5-21-789336058-1085031214-725345543-27727"
"1","fnbm.corp","FNBMCORP\SVC_SPUserProfiles-E","FNBMCORP\SVC_SPUserProfiles-E","ExtendedRight","DS-Replication-Get-Changes","CN=RTCUniversalGlobalWriteGroup,CN=Users,DC=fnbm,DC=corp","FNBMCORP\Domain Admins","Group","S-1-5-21-789336058-1085031214-725345543-28105","S-1-5-21-789336058-1085031214-725345543-27721"
"1","fnbm.corp","FNBMCORP\SVC_SPUserProfiles-E","FNBMCORP\SVC_SPUserProfiles-E","ExtendedRight","DS-Replication-Get-Changes","CN=RTCHSUniversalServices,CN=Users,DC=fnbm,DC=corp","FNBMCORP\Domain Admins","Group","S-1-5-21-789336058-1085031214-725345543-28105","S-1-5-21-789336058-1085031214-725345543-27724"
"1","fnbm.corp","FNBMCORP\SVC_SPUserProfiles-E","FNBMCORP\SVC_SPUserProfiles-E","ExtendedRight","DS-Replication-Get-Changes","CN=Organization Management,OU=Microsoft Exchange Security Groups,DC=fnbm,DC=corp","FNBMCORP\Domain Admins","Group","S-1-5-21-789336058-1085031214-725345543-28105","S-1-5-21-789336058-1085031214-725345543-23107"
"1","fnbm.corp","FNBMCORP\SVC_SPUserProfiles-E","FNBMCORP\SVC_SPUserProfiles-E","ExtendedRight","DS-Replication-Get-Changes","CN=NOC-Delegated Control,OU=MIS Security Groups,OU=Security_Groups,OU=Las_Vegas,DC=fnbm,DC=corp","FNBMCORP\Domain Admins","Group","S-1-5-21-789336058-1085031214-725345543-28105","S-1-5-21-789336058-1085031214-725345543-20151"
"1","fnbm.corp","FNBMCORP\SVC_SPUserProfiles-E","FNBMCORP\SVC_SPUserProfiles-E","ExtendedRight","DS-Replication-Get-Changes","CN=Exchange Windows Permissions,OU=Microsoft Exchange Security Groups,DC=fnbm,DC=corp","FNBMCORP\Domain Admins","Group","S-1-5-21-789336058-1085031214-725345543-28105","S-1-5-21-789336058-1085031214-725345543-23121"
"1","fnbm.corp","FNBMCORP\SVC_SPUserProfiles-E","FNBMCORP\SVC_SPUserProfiles-E","ExtendedRight","DS-Replication-Get-Changes","CN=Exchange Trusted Subsystem,OU=Microsoft Exchange Security Groups,DC=fnbm,DC=corp","FNBMCORP\Domain Admins","Group","S-1-5-21-789336058-1085031214-725345543-28105","S-1-5-21-789336058-1085031214-725345543-23119"
"1","fnbm.corp","FNBMCORP\SVC_SPUserProfiles-E","FNBMCORP\SVC_SPUserProfiles-E","ExtendedRight","DS-Replication-Get-Changes","CN=Exchange Enterprise Servers,CN=Users,DC=fnbm,DC=corp","FNBMCORP\Domain Admins","Group","S-1-5-21-789336058-1085031214-725345543-28105","S-1-5-21-789336058-1085031214-725345543-1107"
"1","fnbm.corp","FNBMCORP\SVC_SPUserProfiles-E","FNBMCORP\SVC_SPUserProfiles-E","ExtendedRight","DS-Replication-Get-Changes","CN=Enterprise Read-only Domain Controllers,CN=Users,DC=fnbm,DC=corp","FNBMCORP\Domain Admins","Group","S-1-5-21-789336058-1085031214-725345543-28105","S-1-5-21-789336058-1085031214-725345543-498"
"1","fnbm.corp","FNBMCORP\SVC_SPServices-Ent","FNBMCORP\SVC_SPServices-Ent","ExtendedRight","DS-Replication-Get-Changes","DC=fnbm,DC=corp","BUILTIN\Administrators","Domain","S-1-5-21-789336058-1085031214-725345543-28885","S-1-5-21-789336058-1085031214-725345543"
"1","fnbm.corp","FNBMCORP\SVC_SPServices-Ent","FNBMCORP\SVC_SPServices-Ent","ExtendedRight","DS-Replication-Get-Changes","CN=S-1-5-9,CN=ForeignSecurityPrincipals,DC=fnbm,DC=corp","FNBMCORP\Domain Admins","top foreignSecurityPrincipal ","S-1-5-21-789336058-1085031214-725345543-28885","S-1-5-9"
"1","fnbm.corp","FNBMCORP\SVC_SPServices-Ent","FNBMCORP\SVC_SPServices-Ent","ExtendedRight","DS-Replication-Get-Changes","CN=RTCUniversalServerAdmins,CN=Users,DC=fnbm,DC=corp","FNBMCORP\Domain Admins","Group","S-1-5-21-789336058-1085031214-725345543-28885","S-1-5-21-789336058-1085031214-725345543-27727"
"1","fnbm.corp","FNBMCORP\SVC_SPServices-Ent","FNBMCORP\SVC_SPServices-Ent","ExtendedRight","DS-Replication-Get-Changes","CN=RTCUniversalGlobalWriteGroup,CN=Users,DC=fnbm,DC=corp","FNBMCORP\Domain Admins","Group","S-1-5-21-789336058-1085031214-725345543-28885","S-1-5-21-789336058-1085031214-725345543-27721"
"1","fnbm.corp","FNBMCORP\SVC_SPServices-Ent","FNBMCORP\SVC_SPServices-Ent","ExtendedRight","DS-Replication-Get-Changes","CN=RTCHSUniversalServices,CN=Users,DC=fnbm,DC=corp","FNBMCORP\Domain Admins","Group","S-1-5-21-789336058-1085031214-725345543-28885","S-1-5-21-789336058-1085031214-725345543-27724"
"1","fnbm.corp","FNBMCORP\SVC_SPServices-Ent","FNBMCORP\SVC_SPServices-Ent","ExtendedRight","DS-Replication-Get-Changes","CN=Organization Management,OU=Microsoft Exchange Security Groups,DC=fnbm,DC=corp","FNBMCORP\Domain Admins","Group","S-1-5-21-789336058-1085031214-725345543-28885","S-1-5-21-789336058-1085031214-725345543-23107"
"1","fnbm.corp","FNBMCORP\SVC_SPServices-Ent","FNBMCORP\SVC_SPServices-Ent","ExtendedRight","DS-Replication-Get-Changes","CN=NOC-Delegated Control,OU=MIS Security Groups,OU=Security_Groups,OU=Las_Vegas,DC=fnbm,DC=corp","FNBMCORP\Domain Admins","Group","S-1-5-21-789336058-1085031214-725345543-28885","S-1-5-21-789336058-1085031214-725345543-20151"
"1","fnbm.corp","FNBMCORP\SVC_SPServices-Ent","FNBMCORP\SVC_SPServices-Ent","ExtendedRight","DS-Replication-Get-Changes","CN=Exchange Windows Permissions,OU=Microsoft Exchange Security Groups,DC=fnbm,DC=corp","FNBMCORP\Domain Admins","Group","S-1-5-21-789336058-1085031214-725345543-28885","S-1-5-21-789336058-1085031214-725345543-23121"
"1","fnbm.corp","FNBMCORP\SVC_SPServices-Ent","FNBMCORP\SVC_SPServices-Ent","ExtendedRight","DS-Replication-Get-Changes","CN=Exchange Trusted Subsystem,OU=Microsoft Exchange Security Groups,DC=fnbm,DC=corp","FNBMCORP\Domain Admins","Group","S-1-5-21-789336058-1085031214-725345543-28885","S-1-5-21-789336058-1085031214-725345543-23119"
"1","fnbm.corp","FNBMCORP\SVC_SPServices-Ent","FNBMCORP\SVC_SPServices-Ent","ExtendedRight","DS-Replication-Get-Changes","CN=Exchange Enterprise Servers,CN=Users,DC=fnbm,DC=corp","FNBMCORP\Domain Admins","Group","S-1-5-21-789336058-1085031214-725345543-28885","S-1-5-21-789336058-1085031214-725345543-1107"
"1","fnbm.corp","FNBMCORP\SVC_SPServices-Ent","FNBMCORP\SVC_SPServices-Ent","ExtendedRight","DS-Replication-Get-Changes","CN=Enterprise Read-only Domain Controllers,CN=Users,DC=fnbm,DC=corp","FNBMCORP\Domain Admins","Group","S-1-5-21-789336058-1085031214-725345543-28885","S-1-5-21-789336058-1085031214-725345543-498"
"1","fnbm.corp","FNBMCORP\SVC_SPFarm-EntTest","FNBMCORP\SVC_SPFarm-EntTest","ExtendedRight","DS-Replication-Get-Changes-All","DC=fnbm,DC=corp","BUILTIN\Administrators","Domain","S-1-5-21-789336058-1085031214-725345543-28103","S-1-5-21-789336058-1085031214-725345543"
"1","fnbm.corp","FNBMCORP\SVC_SPFarm-EntTest","FNBMCORP\SVC_SPFarm-EntTest","ExtendedRight","DS-Replication-Get-Changes","DC=fnbm,DC=corp","BUILTIN\Administrators","Domain","S-1-5-21-789336058-1085031214-725345543-28103","S-1-5-21-789336058-1085031214-725345543"
"1","fnbm.corp","FNBMCORP\SVC_SPApp-Ent","FNBMCORP\SVC_SPApp-Ent","ExtendedRight","DS-Replication-Get-Changes-All","DC=fnbm,DC=corp","BUILTIN\Administrators","Domain","S-1-5-21-789336058-1085031214-725345543-28887","S-1-5-21-789336058-1085031214-725345543"
"1","fnbm.corp","FNBMCORP\SVC_SPApp-Ent","FNBMCORP\SVC_SPApp-Ent","ExtendedRight","DS-Replication-Get-Changes-All","CN=S-1-5-9,CN=ForeignSecurityPrincipals,DC=fnbm,DC=corp","FNBMCORP\Domain Admins","top foreignSecurityPrincipal ","S-1-5-21-789336058-1085031214-725345543-28887","S-1-5-9"
"1","fnbm.corp","FNBMCORP\SVC_SPApp-Ent","FNBMCORP\SVC_SPApp-Ent","ExtendedRight","DS-Replication-Get-Changes-All","CN=RTCUniversalServerAdmins,CN=Users,DC=fnbm,DC=corp","FNBMCORP\Domain Admins","Group","S-1-5-21-789336058-1085031214-725345543-28887","S-1-5-21-789336058-1085031214-725345543-27727"
"1","fnbm.corp","FNBMCORP\SVC_SPApp-Ent","FNBMCORP\SVC_SPApp-Ent","ExtendedRight","DS-Replication-Get-Changes-All","CN=RTCUniversalGlobalWriteGroup,CN=Users,DC=fnbm,DC=corp","FNBMCORP\Domain Admins","Group","S-1-5-21-789336058-1085031214-725345543-28887","S-1-5-21-789336058-1085031214-725345543-27721"
"1","fnbm.corp","FNBMCORP\SVC_SPApp-Ent","FNBMCORP\SVC_SPApp-Ent","ExtendedRight","DS-Replication-Get-Changes-All","CN=RTCHSUniversalServices,CN=Users,DC=fnbm,DC=corp","FNBMCORP\Domain Admins","Group","S-1-5-21-789336058-1085031214-725345543-28887","S-1-5-21-789336058-1085031214-725345543-27724"
"1","fnbm.corp","FNBMCORP\SVC_SPApp-Ent","FNBMCORP\SVC_SPApp-Ent","ExtendedRight","DS-Replication-Get-Changes-All","CN=Organization Management,OU=Microsoft Exchange Security Groups,DC=fnbm,DC=corp","FNBMCORP\Domain Admins","Group","S-1-5-21-789336058-1085031214-725345543-28887","S-1-5-21-789336058-1085031214-725345543-23107"
"1","fnbm.corp","FNBMCORP\SVC_SPApp-Ent","FNBMCORP\SVC_SPApp-Ent","ExtendedRight","DS-Replication-Get-Changes-All","CN=NOC-Delegated Control,OU=MIS Security Groups,OU=Security_Groups,OU=Las_Vegas,DC=fnbm,DC=corp","FNBMCORP\Domain Admins","Group","S-1-5-21-789336058-1085031214-725345543-28887","S-1-5-21-789336058-1085031214-725345543-20151"
"1","fnbm.corp","FNBMCORP\SVC_SPApp-Ent","FNBMCORP\SVC_SPApp-Ent","ExtendedRight","DS-Replication-Get-Changes-All","CN=Exchange Windows Permissions,OU=Microsoft Exchange Security Groups,DC=fnbm,DC=corp","FNBMCORP\Domain Admins","Group","S-1-5-21-789336058-1085031214-725345543-28887","S-1-5-21-789336058-1085031214-725345543-23121"
"1","fnbm.corp","FNBMCORP\SVC_SPApp-Ent","FNBMCORP\SVC_SPApp-Ent","ExtendedRight","DS-Replication-Get-Changes-All","CN=Exchange Trusted Subsystem,OU=Microsoft Exchange Security Groups,DC=fnbm,DC=corp","FNBMCORP\Domain Admins","Group","S-1-5-21-789336058-1085031214-725345543-28887","S-1-5-21-789336058-1085031214-725345543-23119"
"1","fnbm.corp","FNBMCORP\SVC_SPApp-Ent","FNBMCORP\SVC_SPApp-Ent","ExtendedRight","DS-Replication-Get-Changes-All","CN=Exchange Enterprise Servers,CN=Users,DC=fnbm,DC=corp","FNBMCORP\Domain Admins","Group","S-1-5-21-789336058-1085031214-725345543-28887","S-1-5-21-789336058-1085031214-725345543-1107"
"1","fnbm.corp","FNBMCORP\SVC_SPApp-Ent","FNBMCORP\SVC_SPApp-Ent","ExtendedRight","DS-Replication-Get-Changes-All","CN=Enterprise Read-only Domain Controllers,CN=Users,DC=fnbm,DC=corp","FNBMCORP\Domain Admins","Group","S-1-5-21-789336058-1085031214-725345543-28887","S-1-5-21-789336058-1085031214-725345543-498"
"1","fnbm.corp","FNBMCORP\SVC_SPApp-Ent","FNBMCORP\SVC_SPApp-Ent","ExtendedRight","DS-Replication-Get-Changes","DC=fnbm,DC=corp","BUILTIN\Administrators","Domain","S-1-5-21-789336058-1085031214-725345543-28887","S-1-5-21-789336058-1085031214-725345543"
"1","fnbm.corp","FNBMCORP\SVC_SPApp-Ent","FNBMCORP\SVC_SPApp-Ent","ExtendedRight","DS-Replication-Get-Changes","CN=S-1-5-9,CN=ForeignSecurityPrincipals,DC=fnbm,DC=corp","FNBMCORP\Domain Admins","top foreignSecurityPrincipal ","S-1-5-21-789336058-1085031214-725345543-28887","S-1-5-9"
"1","fnbm.corp","FNBMCORP\SVC_SPApp-Ent","FNBMCORP\SVC_SPApp-Ent","ExtendedRight","DS-Replication-Get-Changes","CN=RTCUniversalServerAdmins,CN=Users,DC=fnbm,DC=corp","FNBMCORP\Domain Admins","Group","S-1-5-21-789336058-1085031214-725345543-28887","S-1-5-21-789336058-1085031214-725345543-27727"
"1","fnbm.corp","FNBMCORP\SVC_SPApp-Ent","FNBMCORP\SVC_SPApp-Ent","ExtendedRight","DS-Replication-Get-Changes","CN=RTCUniversalGlobalWriteGroup,CN=Users,DC=fnbm,DC=corp","FNBMCORP\Domain Admins","Group","S-1-5-21-789336058-1085031214-725345543-28887","S-1-5-21-789336058-1085031214-725345543-27721"
"1","fnbm.corp","FNBMCORP\SVC_SPApp-Ent","FNBMCORP\SVC_SPApp-Ent","ExtendedRight","DS-Replication-Get-Changes","CN=RTCHSUniversalServices,CN=Users,DC=fnbm,DC=corp","FNBMCORP\Domain Admins","Group","S-1-5-21-789336058-1085031214-725345543-28887","S-1-5-21-789336058-1085031214-725345543-27724"
"1","fnbm.corp","FNBMCORP\SVC_SPApp-Ent","FNBMCORP\SVC_SPApp-Ent","ExtendedRight","DS-Replication-Get-Changes","CN=Organization Management,OU=Microsoft Exchange Security Groups,DC=fnbm,DC=corp","FNBMCORP\Domain Admins","Group","S-1-5-21-789336058-1085031214-725345543-28887","S-1-5-21-789336058-1085031214-725345543-23107"
"1","fnbm.corp","FNBMCORP\SVC_SPApp-Ent","FNBMCORP\SVC_SPApp-Ent","ExtendedRight","DS-Replication-Get-Changes","CN=NOC-Delegated Control,OU=MIS Security Groups,OU=Security_Groups,OU=Las_Vegas,DC=fnbm,DC=corp","FNBMCORP\Domain Admins","Group","S-1-5-21-789336058-1085031214-725345543-28887","S-1-5-21-789336058-1085031214-725345543-20151"
"1","fnbm.corp","FNBMCORP\SVC_SPApp-Ent","FNBMCORP\SVC_SPApp-Ent","ExtendedRight","DS-Replication-Get-Changes","CN=Exchange Windows Permissions,OU=Microsoft Exchange Security Groups,DC=fnbm,DC=corp","FNBMCORP\Domain Admins","Group","S-1-5-21-789336058-1085031214-725345543-28887","S-1-5-21-789336058-1085031214-725345543-23121"
"1","fnbm.corp","FNBMCORP\SVC_SPApp-Ent","FNBMCORP\SVC_SPApp-Ent","ExtendedRight","DS-Replication-Get-Changes","CN=Exchange Trusted Subsystem,OU=Microsoft Exchange Security Groups,DC=fnbm,DC=corp","FNBMCORP\Domain Admins","Group","S-1-5-21-789336058-1085031214-725345543-28887","S-1-5-21-789336058-1085031214-725345543-23119"
"1","fnbm.corp","FNBMCORP\SVC_SPApp-Ent","FNBMCORP\SVC_SPApp-Ent","ExtendedRight","DS-Replication-Get-Changes","CN=Exchange Enterprise Servers,CN=Users,DC=fnbm,DC=corp","FNBMCORP\Domain Admins","Group","S-1-5-21-789336058-1085031214-725345543-28887","S-1-5-21-789336058-1085031214-725345543-1107"
"1","fnbm.corp","FNBMCORP\SVC_SPApp-Ent","FNBMCORP\SVC_SPApp-Ent","ExtendedRight","DS-Replication-Get-Changes","CN=Enterprise Read-only Domain Controllers,CN=Users,DC=fnbm,DC=corp","FNBMCORP\Domain Admins","Group","S-1-5-21-789336058-1085031214-725345543-28887","S-1-5-21-789336058-1085031214-725345543-498"
